user,node_hash,weight
180817125,1824763583248193521,2
183219346,7214357871486146644,1
183730037,2021665864543276686,1
184712948,326399604544761661,2
185256259,7816064535169264237,1
186272534,7590657676017540548,1
186394930,7650367663062423819,2
186976135,7390835479064490930,1
186977143,2161043706707537078,1
187190350,74454190926166875,1
187206647,5660897719585284596,2
189583499,-1242109198169233758,1
190486829,8031824896972458711,3
191956131,-6993910317973717378,1
192584144,8516314371415917074,2
192939414,9078967315702838713,1
193349615,-6153106691007972031,2
193810402,7194493729088809276,3
193941035,8233907506257904308,1
194146424,5682885667036124132,1
194160944,-6626849032629445381,1
194525378,-4921178532471340967,2
195063290,1222610082612055357,1
195100406,-9156122260026430672,1
195734767,5809835428269373256,1
196756881,1568076408017698311,2
197056224,5001728770778249561,2
197071965,1831445023544450683,1
197420648,8953205248727737875,1
198086804,254116824509850642,1
198945230,863670336993987207,1
198954634,-4906821296460360720,1
199632928,243212988172182415,1
199667393,3383416083211754691,1
200578592,-5727872827965104452,1
200888646,1393267016702739534,1
202596312,-4712691891404685871,1
203537445,8790814689109155016,1
204728835,-3680798232209707844,1
205694039,6642514584080088340,1
207684336,-5545882022365841715,1
208582449,-7132814537676075679,1
209115805,5120600750157078424,1
209583572,3828784627539752603,1
210376076,-3336530511733801482,4
210501383,-4747054018181449549,1
210534514,5089701000526644635,1
211230337,-8822999420114865950,1
211316225,8726884310522456969,1
211494524,-7578562886737924209,1
212163360,3052321025900489234,1
213316733,598336137155682951,1
213355544,2963690743924198092,1
213616021,-1131264764656480857,2
214246298,-1488887362830749039,1
214680740,665003444980953778,1
215387308,-632877947991088060,1
215728045,-8500883728309254033,1
215954645,-330077735209718567,1
216553343,-5703264753959420443,1
217001190,901950652109290396,1
217358294,6264997672697143409,1
217380105,5405225087129801588,1
217430415,6226235995846738615,1
217478670,-3466756787645713986,1
217718995,8580877901150101822,1
218889173,6968033851822661920,1
219991372,-4149736480919510931,1
221067698,-1755611765985343432,1
221153691,-4117199118999542107,1
222196970,-2814349460506360719,1
223081520,-7948219593726110385,1
223400401,-3774783602128010672,1
224208574,-391539356416880480,1
224741912,2697992949192593277,1
225556859,-1845568405745054838,1
226491336,-2037555652822766047,1
226514981,-262344908732315803,1
227047475,-658633282294552140,1
227291668,3628576802416562561,1
227619302,-2753971737195419308,1
227670358,-6300222264997761167,2
228203275,-8184867598083384152,1
228442962,2172562234696231379,2
229015431,-2884570285964762223,1
229804443,-1854382692582758827,1
230284385,-5879553291252613934,1
230698981,7019913633633350791,1
230740381,-5145372216149443327,1
231144156,-8383056912099522907,1
231726084,-3592625667038660979,6
232110432,-8790495686174287532,1
232855713,759332068386379452,1
233314242,-2126194353089345908,1
233659902,7286524916367738126,1
233710429,1017233941653643983,1
234327620,5436492429333669903,1
234390068,594685653982420576,1
234426659,-7185557723523395858,2
234432349,1223732700366858908,2
234765449,7877377238501342816,1
235580967,423116575968243468,1
235711779,-6128193694314338417,1
236410502,5861105170612705356,1
236866189,2735480264586987982,2
237433683,-304569794784859268,1
238665595,-4575006753541181580,1
238674623,7185329826308951013,2
240723030,-8626629482010964759,1
240783492,-94152261029725938,1
241143938,-3276720185846754884,1
244490330,547606501149843003,1
245063632,6188305239317809783,1
245155055,-3194308326269658101,1
245292708,5408453163572470558,1
245960120,2317903282365063220,2
246318708,8189224678860968805,1
247645744,8362843517454166849,1
248176574,6407865085516962834,1
248688210,-4455070898467911969,1
248853637,-3898570201806208386,3
250125449,-436845596576852940,1
251309387,-1912882173544488961,1
251320965,7594663092155937540,1
252646626,-413482479339774453,1
253540043,376811113643950547,1
253568421,-986772102356447480,1
256508868,2345155337469143230,1
257064557,1981998982010421472,1
257188974,2937310632274845421,1
257526485,-4203316509884026927,4
257709473,704873514252254363,1
257938594,-3134297938219891118,4
258269178,-5256387748000327165,1
259918370,-8373430474730927960,1
260134572,2774528588183784364,1
260928121,6831218567292729593,1
261254695,7617613677506034207,1
261437907,-8879368188450867843,1
261621525,-6004709949793393280,9
262091004,7065122943723820392,1
263189382,4587824776995622100,2
263353495,5226834107527602334,1
263839872,-5200641420241922205,1
264211609,-5671604251693259137,1
265363157,-2127827652686226922,1
266162541,-3459911822661983702,1
267358678,4906053283546348269,1
267809017,5925354902518183070,1
268986620,4846547029942278092,2
269040088,2163201618238210464,2
269376864,-3314441245131348732,2
269387968,2575544175404852646,1
269677763,8455247338074998800,1
269978919,-3776376147613061878,1
270382626,-571877855519358287,1
270511605,6104304927220327956,2
271498583,5986673761026750985,1
271548644,-71233427840148383,3
271890712,4809874631866574622,2
272480154,3987470743348572738,1
273071489,1526339942537175711,1
273454316,-5430282077653048821,1
273571720,-6908169201028834144,1
275078542,1498486235937579663,1
276026459,2737333492055965661,2
276568991,7999442265686588572,1
276697615,2009625734966609548,1
277002515,8637629292946171155,2
277096455,4076381838067090682,1
279079112,41527184585572652,1
279251401,-2003913180276551054,1
279647082,-5233961738019078045,3
283080198,-3991173781393556013,4
283286921,-6217319912243610686,1
283532741,-2379043419289878213,1
283613224,-1007105987056271609,1
283680325,8908724198835526487,1
283980263,2886314893326548660,1
284083376,3644919835505965834,1
285523418,-2143693526654675377,1
285707038,-7521445212666119073,1
286079987,7395200899537884334,2
286171902,4546572073459614942,2
286473477,405983680779838904,1
287294555,1826485755888617551,2
287632736,6547414920855517832,1
287674459,-1986768020774950455,1
287851980,2636447785392011890,1
288690457,1502594539744678281,1
289970252,-3198796136162795727,1
291363076,-672173329620793143,1
291763976,-2797648503729718531,5
292487530,-482361446560050921,1
292858102,-3899563963220482708,1
293580185,7105026570429727140,1
294531242,-1672368526418113437,1
294609184,-1897504939289832351,1
295328458,9002614719332341041,1
296153950,-5323508523993926800,1
296397558,-237231408357215340,2
296411452,7104281469577816840,1
297526493,-6148589391687072318,2
298038274,5376418169706282264,1
298492587,-433659173669528763,1
299709517,1350758575470146182,1
300354836,1580974855157556196,1
300436584,-6783496572307561206,1
300832627,-8351458010744132084,1
300847677,5999810226436335203,2
301314003,9026034507413696790,1
302134071,2169872548713274587,1
302174830,-3036227884451216160,1
303697658,3392113312530695575,1
303741806,2173576245366846883,1
303917980,2932511092459247324,1
305322813,6033538560081771534,1
305529051,1659208106901685768,1
305695630,8933117356034427140,1
305810211,8219069879538773695,1
306148468,-6629273136455674631,1
307976751,-7370604583902242759,1
308094669,-3338062611813441837,2
308511972,3991206896049573209,1
310281492,7630247710967924697,1
312570870,5151413381757751791,4
313204597,-5683188474027858146,1
313213806,-4005802821120109318,1
313215533,6934435891936103652,1
313250086,-8551460354050795925,1
313326794,4596791327107907312,3
314535132,1728791829295251688,1
315216159,808506343127190501,2
315328036,-3800738150821561696,2
315771806,-9206428767147406170,1
316086023,6164020007889808531,2
317601604,-8645480894751891913,1
317671787,6956211101131323184,13
317685710,-2147162945077463829,1
317745983,6703805193008589350,2
317964725,-414908415622227206,1
318297110,1676101604620436800,1
319020570,191680294644163485,2
319578825,8129235467118076686,1
319735845,5106286270077829682,1
320105069,3170649037348035006,2
320123057,-778169609693863920,1
321885054,-6049856316800647111,15
321911801,7557748264877712603,1
321986666,1616042595095919553,3
322656436,3973844773265266598,1
