hashtag,node_hash,weight
conteout,2191593272241657795,1
continenti,-3029523533341570747,1
contrabbando,-1574368485211116712,1
contratto,-7653085467250777583,1
contribuente,-8990755024229166286,1
coppia,-5284143016929365966,1
coprifuoco,-3500171591958253303,1
coronavirus,8758010436307990487,13
coronavirusitalia,5105764218853905129,1
corriere,265322711051073443,1
cosechehafatto,6830548268106998656,1
coseperte,1611538449877272931,1
costi,4249187030264361589,1
costituzioneitaliana,3928074447271623176,1
couple,-1523810098830102586,1
covid,-6347358879337697790,16
covid19,5805324728175690911,30
covid19italia,293069389039033143,3
covid_19,4998225666125588051,1
covidioti,740289102734086985,1
covidresidence,3529124683584855310,1
creatività,3090155125298528825,2
criminali,560151831655555743,1
crisanti,-5146431535145802895,2
crisiclimatica,7807825806680671819,1
cristianomalgioglio,-2933446823090771450,1
cronaca,4826855889346746306,2
cruciani,8427211671486883017,1
cruijff,-6151585504947355660,1
cts,2810403331982519414,1
cuanoninsider,7487712536047990826,1
cuba,-5968564876222204638,1
cucina,-134375246886937068,1
cuckold,5425836280558642974,1
cultura,3966128164585865660,1
culturale,1335383292854649823,1
cuoripensanti,-5625677732012924347,2
cupom,-6481335977270264034,1
cybercrime,2881821701749918510,1
cybermonday,4364216895862928201,1
cyberpunk2077,1961381563217017558,2
cybersecurity,4755776311967442986,3
d10s,8772333380875512917,2
dad,-8944725882129992669,2
daje,-8335198772206478230,1
danielpennac,-1696489130108252076,1
danimarca,2512779403850133610,3
danimarcaitalia,-7565165631492212854,2
dante,2072725986923194941,1
dany,5671593246567538758,1
datagovernance,8308966941260697101,1
datisensibili,-3574431325539516894,1
davidevavalà,4026739241551127376,1
dayane,-1251275858585549669,6
dayanemello,-6907253407498928410,1
dayanenonmollare,-5809478907403852679,1
daydreamer,2489923014175775367,1
decameron,-9120569236982840603,1
decapodcast,-5419152009742320976,1
december,2970663930813349425,1
decentralizzazione,3574634303218176413,1
decretoinsicurezza,8484668745965507387,1
decretoristoriquater,687726816707192459,1
deflazione,-5823867681278343051,1
dejavu,-3374212180764182662,2
delltechforum,5989099841585219859,1
demartino,7074026670162521199,2
demetozdemir,3013103210359025863,1
demetözdemir,4610274360081077910,2
demiral,-8873634933579272902,2
denisepipitone,-5043105578484795705,1
desconto,2957988020241020908,1
diabloii,-5471329807153552973,1
diaconale,8223787923585768565,9
dibattista,-1409470825244490388,1
dicembre,1046631274892792361,5
dicembredamare,-3212140092956763130,3
